book_name,author(s),publisher,language,#pages,best_seller_rank,customer_reviews,total_ratings,url,paperback_price($)
"Learning to Love Data Science: Explorations of Emerging Technologies and Platforms for Predictive Analytics, Machine Learning, Digital Manufacturing and Supply Chain Optimization","Mike Barlow,Mike Barlow",Self Publication,,Null,2758601,['3.9'],['21'],https://www.amazon.com/Learning-Love-Data-Science-Manufacturing/dp/1491936584/ref=sr_1_950?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-950,19.58
A Beginner’s Guide to Using Open Access Data (Pocket Guides to Biomedical Sciences),"Saif Aldeen Saleh AlRyalat,Shaher Momani (Author)",CRC Press,,110,Null,['5.0'],['0'],https://www.amazon.com/Beginners-Access-Pocket-Biomedical-Sciences/dp/0367075032/ref=sr_1_951?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-951,24.95
Data Science: A Comprehensive Beginner’s Guide to Learn the Realms of Data Science,Liam Damien,Independently published,,154,2671882,['3.5'],['28'],https://www.amazon.com/Data-Science-Comprehensive-Beginners-Realms/dp/1713149796/ref=sr_1_952?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-952,19.99
"Data Analytics: The Ultimate Guide to Big Data Analytics for Business, Data Mining Techniques, Data Collection, and Business Intelligence Concepts",Herbert Jones,CreateSpace Independent Publishing Platform,,152,2924492,['3.7'],['21'],https://www.amazon.com/Data-Analytics-Techniques-Collection-Intelligence/dp/1727481011/ref=sr_1_953?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-953,15.98
Learning Ipython for Interactive Computing and Data Visualization - Second Edition,Cyrille Rossant,Packt Publishing,,200,2704377,['4.4'],['18'],https://www.amazon.com/Learning-IPython-Interactive-Computing-Visualization/dp/1783986980/ref=sr_1_954?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-954,42.89
Data Science for Business and Decision Making,"Luiz Paulo Favero,Patricia Belfiore (Author)",Academic Press,,1244,3434654,['5.0'],['5'],https://www.amazon.com/Data-Science-Business-Decision-Making/dp/0128112166/ref=sr_1_955?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-955,166.07
Machine Learning for Business: Using Amazon SageMaker and Jupyter,"Richard Nichol,Doug Hudgeon",Manning,,280,2731742,['3.4'],['6'],https://www.amazon.com/Machine-Learning-Business-SageMaker-Jupyter/dp/1617295833/ref=sr_1_956?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-956,39.19
"Beginning Relational Data Modeling, Second Edition","Sharon Allen,Evan Terry (Author)",Apress,,632,2717865,['4.1'],['21'],https://www.amazon.com/Beginning-Relational-Data-Modeling-Second/dp/1590594630/ref=sr_1_957?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-957,59.99
Data Wrangling with JavaScript,Ashley Davis,Manning,,432,2724270,['4.0'],['4'],https://www.amazon.com/Data-Wrangling-JavaScript-Ashley-Davis/dp/1617294845/ref=sr_1_958?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-958,49.99
Data Mining: The Textbook,Charu C. Aggarwal,Springer,,763,2872548,['4.3'],['40'],https://www.amazon.com/Data-Mining-Textbook-Charu-Aggarwal/dp/3319381164/ref=sr_1_959?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-959,48.99
"Learning Jupyter 5: Explore interactive computing using Python, Java, JavaScript, R, Julia, and JupyterLab, 2nd Edition",Dan Toomey,Packt Publishing,,282,2660199,['3.5'],['4'],https://www.amazon.com/Learning-Jupyter-interactive-JavaScript-JupyterLab/dp/1789137403/ref=sr_1_960?crid=2YD904R136ZW3&keywords=data+science+books&qid=1687799046&refinements=p_n_feature_browse-bin%3A2656022011&rnid=618072011&s=books&sprefix=data+science+books%2Caps%2C421&sr=1-960,41.99
